OID_,Value,DepoZone,EUcropClas,SlopeClass,DepoZones,CropShort,SlopeTxt,lucode,Ndeposition,NUE,PUE,load_n,eff_n,crit_len_n,proportion_subsurface_n,load_p,eff_p,crit_len_p
242,243,10,5,2,8.001-10 kg ha,Water & Wetlands,<= mean = 2.531- 5.06 degrees,243,8.753290176,0.65,1.05,3.063651562,0.294054687,200,0.946233034,0,0.294054687,200
243,244,10,4,2,8.001-10 kg ha,Built-up and artificial,<= mean = 2.531- 5.06 degrees,244,9.038165092,0.66,0.96,3.072976131,0.241595566,200,0.905087709,0,0.241595566,200
244,245,10,5,3,8.001-10 kg ha,Water & Wetlands,<= mean + 1 STD = 5.061-12.225 degrees,245,8.926858902,0.65,1.04,3.124400616,0.345008522,200,1,0,0.345008522,200
245,246,10,3,2,8.001-10 kg ha,Cropland,<= mean = 2.531- 5.06 degrees,246,9.043798447,0.67,1.04,2.984453488,0.433861554,200,0.03513708,0,0.433861554,200
246,247,10,4,3,8.001-10 kg ha,Built-up and artificial,<= mean + 1 STD = 5.061-12.225 degrees,247,9.004574776,0.63,0.81,3.331692667,0.357192367,200,0.824748695,0,0.357192367,200
247,248,8,3,3,7.001-8 kg ha,Cropland,<= mean + 1 STD = 5.061-12.225 degrees,248,7.46684885,0.62,0.94,2.837402563,0.256490111,200,0.005216487,0,0.256490111,200
248,249,10,5,4,8.001-10 kg ha,Water & Wetlands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,249,8.980561256,0.64,0.96,3.233002052,0.494850367,200,1,0,0.494850367,200
249,250,8,3,4,7.001-8 kg ha,Cropland,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,250,7.453867435,0.61,0.79,2.9070083,0.480950922,200,0.00977389,0,0.480950922,200
250,251,10,4,4,8.001-10 kg ha,Built-up and artificial,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,251,8.936703682,0.58,0.7,3.753415546,0.593596101,200,0.774084389,0,0.593596101,200
251,252,10,3,3,8.001-10 kg ha,Cropland,<= mean + 1 STD = 5.061-12.225 degrees,252,8.964133263,0.66,1,3.047805309,0.508002222,200,0.018185467,0,0.508002222,200
252,253,10,3,4,8.001-10 kg ha,Cropland,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,253,8.947043419,0.64,0.81,3.220935631,0.811432242,200,0.037756391,0,0.811432242,200
253,254,10,5,5,8.001-10 kg ha,Water & Wetlands,> mean + 3STD = 26.558-89.281 degrees,254,8.9631567,0.6,0.96,3.58526268,0.528052926,200,1,0,0.528052926,200
254,255,8,3,5,7.001-8 kg ha,Cropland,> mean + 3STD = 26.558-89.281 degrees,255,7.43932724,0.6,0.66,2.975730896,0.596666336,200,0.11615704,0,0.596666336,200
255,256,8,4,5,7.001-8 kg ha,Built-up and artificial,> mean + 3STD = 26.558-89.281 degrees,256,7.444231033,0.55,0.65,3.349903965,0.514642656,200,0.876143634,0,0.514642656,200
256,257,11,1,1,10.001-11 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,257,10.45607376,0.61,0.86,4.077868766,0.899999976,200,0.873590112,0,0.899999976,200
257,258,11,2,1,10.001-11 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,258,10.42109585,0.64,0.99,3.751594506,0.731636524,200,0.956114709,0,0.731636524,200
258,259,11,1,2,10.001-11 kg ha,NaturalTrees,<= mean = 2.531- 5.06 degrees,259,10.4574194,0.62,0.92,3.973819372,0.899999976,200,0.690065742,0,0.899999976,200
259,260,11,2,2,10.001-11 kg ha,Non-wood Natural,<= mean = 2.531- 5.06 degrees,260,10.43231678,0.66,0.92,3.546987705,0.899999976,200,0.9363783,0,0.899999976,200
260,261,11,1,3,10.001-11 kg ha,NaturalTrees,<= mean + 1 STD = 5.061-12.225 degrees,261,10.47014713,0.63,0.92,3.873954438,0.899999976,200,0.290147185,0,0.899999976,200
261,262,11,1,4,10.001-11 kg ha,NaturalTrees,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,262,10.47341251,0.62,0.8,3.979896754,0.899999976,200,0.297445267,0,0.899999976,200
262,263,10,4,5,8.001-10 kg ha,Built-up and artificial,> mean + 3STD = 26.558-89.281 degrees,263,8.929020882,0.49,0.56,4.55380065,0.777146041,200,0.867013574,0,0.777146041,200
263,264,10,3,5,8.001-10 kg ha,Cropland,> mean + 3STD = 26.558-89.281 degrees,264,8.92497921,0.59,0.65,3.659241476,0.860552907,200,0.625477135,0,0.860552907,200
264,265,8,5,5,7.001-8 kg ha,Water & Wetlands,> mean + 3STD = 26.558-89.281 degrees,265,7.476203442,0.59,0.71,3.065243411,0.391684562,200,1,0,0.391684562,200
265,266,11,5,1,10.001-11 kg ha,Water & Wetlands,<= 1/2 STD = < 2.53 degrees,266,10.44720268,0.59,0.98,4.283353099,0.005179788,200,0.928944767,0,0.005179788,200
266,267,11,4,1,10.001-11 kg ha,Built-up and artificial,<= 1/2 STD = < 2.53 degrees,267,10.47148323,0.64,1.05,3.769733963,0.182200566,200,0.95494765,0,0.182200566,200
267,268,11,2,3,10.001-11 kg ha,Non-wood Natural,<= mean + 1 STD = 5.061-12.225 degrees,268,10.43843555,0.67,0.77,3.444683732,0.899999976,200,0.91707176,0,0.899999976,200
268,269,11,4,4,10.001-11 kg ha,Built-up and artificial,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,269,10.47795391,0.64,0.88,3.772063408,0.564823151,200,0.867521822,0,0.564823151,200
269,270,11,4,3,10.001-11 kg ha,Built-up and artificial,<= mean + 1 STD = 5.061-12.225 degrees,270,10.49709988,0.65,1.03,3.673984958,0.357985705,200,0.910931051,0,0.357985705,200
270,271,11,4,2,10.001-11 kg ha,Built-up and artificial,<= mean = 2.531- 5.06 degrees,271,10.48644257,0.65,1.06,3.6702549,0.285485327,200,0.934312105,0,0.285485327,200
271,272,11,3,1,10.001-11 kg ha,Cropland,<= 1/2 STD = < 2.53 degrees,272,10.46038914,0.63,1.06,3.870343982,0.38424769,200,0.121000208,0,0.38424769,200
272,273,11,2,4,10.001-11 kg ha,Non-wood Natural,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,273,10.44849205,0.46,0.64,5.642185707,0.814422309,200,0.93661195,0,0.814422309,200
273,274,11,3,2,10.001-11 kg ha,Cropland,<= mean = 2.531- 5.06 degrees,274,10.45940876,0.64,1.09,3.765387154,0.56382668,200,0.016963478,0,0.56382668,200
274,275,11,3,3,10.001-11 kg ha,Cropland,<= mean + 1 STD = 5.061-12.225 degrees,275,10.47277164,0.64,1.1,3.77019779,0.698543847,200,0.014554501,0,0.698543847,200
275,276,11,3,4,10.001-11 kg ha,Cropland,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,276,10.45053387,0.63,0.88,3.866697532,0.899999976,200,0.059188154,0,0.899999976,200
276,277,11,5,2,10.001-11 kg ha,Water & Wetlands,<= mean = 2.531- 5.06 degrees,277,10.44465542,0.6,1.01,4.177862168,0.392930925,200,1,0,0.392930925,200
277,278,11,5,3,10.001-11 kg ha,Water & Wetlands,<= mean + 1 STD = 5.061-12.225 degrees,278,10.4462986,0.59,0.92,4.282982426,0.513691187,200,1,0,0.513691187,200
278,279,11,1,5,10.001-11 kg ha,NaturalTrees,> mean + 3STD = 26.558-89.281 degrees,279,10.47786522,0.56,0.64,4.610260697,0.899999976,200,0.75759089,0,0.899999976,200
279,280,11,5,4,10.001-11 kg ha,Water & Wetlands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,280,10.46473408,0.59,0.84,4.290540973,0.694668472,200,1,0,0.694668472,200
280,281,12,1,2,11.001-12 kg ha,NaturalTrees,<= mean = 2.531- 5.06 degrees,281,11.44153023,0.62,0.94,4.347781487,0.899999976,200,0.661516428,0,0.899999976,200
281,282,12,1,1,11.001-12 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,282,11.45261574,0.53,0.73,5.382729398,0.899999976,200,0.888697505,0,0.899999976,200
282,283,12,2,1,11.001-12 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,283,11.43373871,0.64,0.94,4.116145936,0.729935408,200,0.962757498,0,0.729935408,200
283,284,12,1,3,11.001-12 kg ha,NaturalTrees,<= mean + 1 STD = 5.061-12.225 degrees,284,11.44651413,0.62,0.94,4.349675369,0.899999976,200,0.289814144,0,0.899999976,200
284,285,12,4,1,11.001-12 kg ha,Built-up and artificial,<= 1/2 STD = < 2.53 degrees,285,11.47048473,0.64,1.08,4.129374503,0.178258181,200,0.963847518,0,0.178258181,200
285,286,12,4,3,11.001-12 kg ha,Built-up and artificial,<= mean + 1 STD = 5.061-12.225 degrees,286,11.48500156,0.65,1.08,4.019750546,0.492985606,200,0.883235633,0,0.492985606,200
286,287,12,5,2,11.001-12 kg ha,Water & Wetlands,<= mean = 2.531- 5.06 degrees,287,11.46270847,0.61,1,4.470456303,0.364764512,200,1,0,0.364764512,200
287,288,12,5,3,11.001-12 kg ha,Water & Wetlands,<= mean + 1 STD = 5.061-12.225 degrees,288,11.46492672,0.6,0.95,4.585970688,0.490195245,200,1,0,0.490195245,200
288,289,12,1,4,11.001-12 kg ha,NaturalTrees,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,289,11.47001934,0.61,0.77,4.473307543,0.899999976,200,0.314115554,0,0.899999976,200
289,290,12,5,1,11.001-12 kg ha,Water & Wetlands,<= 1/2 STD = < 2.53 degrees,290,11.47107697,0.59,0.91,4.703141558,0.013474997,200,0.947786629,0,0.013474997,200
290,291,12,2,2,11.001-12 kg ha,Non-wood Natural,<= mean = 2.531- 5.06 degrees,291,11.43845272,0.66,0.94,3.889073925,0.899999976,200,0.903457522,0,0.899999976,200
291,292,12,2,3,11.001-12 kg ha,Non-wood Natural,<= mean + 1 STD = 5.061-12.225 degrees,292,11.45397854,0.67,0.8,3.779812918,0.899999976,200,0.865443707,0,0.899999976,200
292,293,12,4,2,11.001-12 kg ha,Built-up and artificial,<= mean = 2.531- 5.06 degrees,293,11.47268677,0.65,1.12,4.01544037,0.325802445,200,0.928361684,0,0.325802445,200
293,294,12,3,1,11.001-12 kg ha,Cropland,<= 1/2 STD = < 2.53 degrees,294,11.45016003,0.61,1.06,4.465562412,0.369184643,200,0.140383795,0,0.369184643,200
294,295,12,3,2,11.001-12 kg ha,Cropland,<= mean = 2.531- 5.06 degrees,295,11.43005562,0.64,1.15,4.114820023,0.523243725,200,0.009691745,0,0.523243725,200
295,296,12,3,3,11.001-12 kg ha,Cropland,<= mean + 1 STD = 5.061-12.225 degrees,296,11.43323708,0.64,1.14,4.115965349,0.679274678,200,0.005650076,0,0.679274678,200
296,297,12,4,4,11.001-12 kg ha,Built-up and artificial,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,297,11.49860716,0.6,0.78,4.599442864,0.727670252,200,0.835972428,0,0.727670252,200
297,298,12,3,4,11.001-12 kg ha,Cropland,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,298,11.45941639,0.62,0.89,4.354578228,0.899999976,200,0.005265964,0,0.899999976,200
298,299,7,6,4,6.001-7 kg ha,Improved Grasslands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,299,6.543739796,0.57,0.66,2.813808112,0.899999976,200,0.025371166,0,0.899999976,200
299,300,6,6,5,5.001-6 kg ha,Improved Grasslands,> mean + 3STD = 26.558-89.281 degrees,300,5.515407085,0.52,0.6,2.647395401,0.899999976,200,0.016655117,0,0.899999976,200
300,301,8,6,2,7.001-8 kg ha,Improved Grasslands,<= mean = 2.531- 5.06 degrees,301,7.570105076,0.66,0.88,2.573835726,0.899999976,200,0.104312591,0,0.899999976,200
301,302,8,6,1,7.001-8 kg ha,Improved Grasslands,<= 1/2 STD = < 2.53 degrees,302,7.593224525,0.66,0.98,2.581696339,0.79656297,200,0.478759527,0,0.79656297,200
302,303,8,6,3,7.001-8 kg ha,Improved Grasslands,<= mean + 1 STD = 5.061-12.225 degrees,303,7.540903568,0.61,0.86,2.940952392,0.829456568,200,0.016795184,0,0.829456568,200
303,304,8,6,4,7.001-8 kg ha,Improved Grasslands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,304,7.510795593,0.6,0.77,3.004318237,0.884718359,200,0.016280949,0,0.884718359,200
304,305,12,5,4,11.001-12 kg ha,Water & Wetlands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,305,11.4826231,0.61,0.95,4.478223009,0.673274279,200,1,0,0.673274279,200
305,306,12,2,4,11.001-12 kg ha,Non-wood Natural,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,306,11.46780777,0.43,0.54,6.536650429,0.899999976,200,0.929758072,0,0.899999976,200
306,307,13,4,1,12.001-13 kg ha,Built-up and artificial,<= 1/2 STD = < 2.53 degrees,307,12.43752909,0.63,1.04,4.601885763,0.149038494,200,0.971761882,0,0.149038494,200
307,308,13,4,2,12.001-13 kg ha,Built-up and artificial,<= mean = 2.531- 5.06 degrees,308,12.44364262,0.65,1.11,4.355274917,0.298749387,200,0.946718276,0,0.298749387,200
308,309,13,1,1,12.001-13 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,309,12.39319515,0.55,0.73,5.576937818,0.899999976,200,0.898289859,0,0.899999976,200
309,310,13,1,2,12.001-13 kg ha,NaturalTrees,<= mean = 2.531- 5.06 degrees,310,12.41256809,0.63,0.96,4.592650193,0.899999976,200,0.715711296,0,0.899999976,200
310,311,13,4,3,12.001-13 kg ha,Built-up and artificial,<= mean + 1 STD = 5.061-12.225 degrees,311,12.4509182,0.65,1.06,4.35782137,0.486486852,200,0.910590708,0,0.486486852,200
311,312,13,2,1,12.001-13 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,312,12.39720917,0.64,0.99,4.462995301,0.759123981,200,0.973668039,0,0.759123981,200
312,313,13,2,2,12.001-13 kg ha,Non-wood Natural,<= mean = 2.531- 5.06 degrees,313,12.41362476,0.66,1.01,4.220632418,0.899999976,200,0.931270957,0,0.899999976,200
313,314,13,3,1,12.001-13 kg ha,Cropland,<= 1/2 STD = < 2.53 degrees,314,12.41283703,0.6,0.98,4.965134812,0.388370425,200,0.128596395,0,0.388370425,200
314,315,13,3,2,12.001-13 kg ha,Cropland,<= mean = 2.531- 5.06 degrees,315,12.44476128,0.65,1.15,4.355666448,0.528052926,200,0.008629391,0,0.528052926,200
315,316,13,1,3,12.001-13 kg ha,NaturalTrees,<= mean + 1 STD = 5.061-12.225 degrees,316,12.42508411,0.64,0.95,4.47303028,0.899999976,200,0.549592316,0,0.899999976,200
316,317,13,3,3,12.001-13 kg ha,Cropland,<= mean + 1 STD = 5.061-12.225 degrees,317,12.4479351,0.65,1.13,4.356777285,0.742456496,200,0.005365314,0,0.742456496,200
317,318,13,2,3,12.001-13 kg ha,Non-wood Natural,<= mean + 1 STD = 5.061-12.225 degrees,318,12.42403889,0.65,0.8,4.348413612,0.899999976,200,0.934157372,0,0.899999976,200
318,319,13,4,4,12.001-13 kg ha,Built-up and artificial,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,319,12.4526968,0.64,0.82,4.482970848,0.785942256,200,0.874664217,0,0.785942256,200
319,320,13,1,4,12.001-13 kg ha,NaturalTrees,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,320,12.4567194,0.64,0.78,4.484418984,0.899999976,200,0.691632211,0,0.899999976,200
320,321,13,5,4,12.001-13 kg ha,Water & Wetlands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,321,12.42179489,0.6,0.8,4.968717956,0.661892951,200,1,0,0.661892951,200
321,322,13,2,4,12.001-13 kg ha,Non-wood Natural,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,322,12.44406796,0.37,0.36,7.839762815,0.899999976,200,0.947100043,0,0.899999976,200
322,323,13,5,3,12.001-13 kg ha,Water & Wetlands,<= mean + 1 STD = 5.061-12.225 degrees,323,12.41525173,0.59,0.82,5.090253209,0.439999938,200,1,0,0.439999938,200
323,324,13,5,1,12.001-13 kg ha,Water & Wetlands,<= 1/2 STD = < 2.53 degrees,324,12.39728737,0.58,0.81,5.206860695,0.000158838,200,0.968839467,0,0.000158838,200
324,325,13,5,2,12.001-13 kg ha,Water & Wetlands,<= mean = 2.531- 5.06 degrees,325,12.40711498,0.59,0.85,5.086917142,0.358779907,200,1,0,0.358779907,200
325,326,14,4,2,13.001-14 kg ha,Built-up and artificial,<= mean = 2.531- 5.06 degrees,326,13.44650745,0.66,1.08,4.571812533,0.415704876,200,0.93104893,0,0.415704876,200
326,327,14,4,3,13.001-14 kg ha,Built-up and artificial,<= mean + 1 STD = 5.061-12.225 degrees,327,13.44293213,0.66,1.04,4.570596924,0.580888391,200,0.893444777,0,0.580888391,200
327,328,14,1,1,13.001-14 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,328,13.40288734,0.64,1.01,4.825039442,0.899999976,200,0.862246096,0,0.899999976,200
328,329,14,4,1,13.001-14 kg ha,Built-up and artificial,<= 1/2 STD = < 2.53 degrees,329,13.41677761,0.64,1.07,4.83003994,0.21590811,200,0.966120154,0,0.21590811,200
329,330,14,1,2,13.001-14 kg ha,NaturalTrees,<= mean = 2.531- 5.06 degrees,330,13.42916393,0.65,1.01,4.700207376,0.899999976,200,0.716266751,0,0.899999976,200
330,331,14,5,3,13.001-14 kg ha,Water & Wetlands,<= mean + 1 STD = 5.061-12.225 degrees,331,13.43007183,0.63,0.97,4.969126577,0.564823151,200,1,0,0.564823151,200
331,332,14,5,2,13.001-14 kg ha,Water & Wetlands,<= mean = 2.531- 5.06 degrees,332,13.39905167,0.63,1.01,4.957649118,0.432551682,200,1,0,0.432551682,200
332,333,14,5,1,13.001-14 kg ha,Water & Wetlands,<= 1/2 STD = < 2.53 degrees,333,13.46205807,0.63,0.98,4.980961486,0,200,0.950272799,0,0,200
333,334,14,2,3,13.001-14 kg ha,Non-wood Natural,<= mean + 1 STD = 5.061-12.225 degrees,334,13.45439053,0.66,0.77,4.57449278,0.899999976,200,0.944955349,0,0.899999976,200
334,335,14,1,3,13.001-14 kg ha,NaturalTrees,<= mean + 1 STD = 5.061-12.225 degrees,335,13.43117666,0.65,0.95,4.700911831,0.899999976,200,0.621706247,0,0.899999976,200
335,336,14,2,2,13.001-14 kg ha,Non-wood Natural,<= mean = 2.531- 5.06 degrees,336,13.46383667,0.66,0.98,4.577704468,0.899999976,200,0.948767126,0,0.899999976,200
336,337,14,2,1,13.001-14 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,337,13.44260979,0.64,1.04,4.839339524,0.899999976,200,0.960984439,0,0.899999976,200
337,338,14,4,4,13.001-14 kg ha,Built-up and artificial,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,338,13.46033764,0.63,0.76,4.980324927,0.778315902,200,0.847337306,0,0.778315902,200
338,339,14,3,1,13.001-14 kg ha,Cropland,<= 1/2 STD = < 2.53 degrees,339,13.40862751,0.64,1.08,4.827105904,0.491589457,200,0.09663064,0,0.491589457,200
339,340,11,4,5,10.001-11 kg ha,Built-up and artificial,> mean + 3STD = 26.558-89.281 degrees,340,10.42652512,0.67,0.98,3.44075329,0.73220408,200,0.865652502,0,0.73220408,200
340,341,11,2,5,10.001-11 kg ha,Non-wood Natural,> mean + 3STD = 26.558-89.281 degrees,341,10.45688438,0.35,0.555,6.796974847,5.82E-05,200,0.942018062,0,5.82E-05,200
341,342,7,6,5,6.001-7 kg ha,Improved Grasslands,> mean + 3STD = 26.558-89.281 degrees,342,6.51025486,0.54,0.62,2.994717236,0.899999976,200,0.027944285,0,0.899999976,200
342,343,12,2,5,11.001-12 kg ha,Non-wood Natural,> mean + 3STD = 26.558-89.281 degrees,343,11.47910595,0.28,0.4,8.264956284,0.000422838,200,0.946286112,0,0.000422838,200
343,344,12,1,5,11.001-12 kg ha,NaturalTrees,> mean + 3STD = 26.558-89.281 degrees,344,11.48794365,0.53,0.61,5.399333516,0.899999976,200,0.748346508,0,0.899999976,200
344,345,11,5,5,10.001-11 kg ha,Water & Wetlands,> mean + 3STD = 26.558-89.281 degrees,345,10.47707653,0.6,1,4.190830612,0.604376853,200,1,0,0.604376853,200
345,346,12,5,5,11.001-12 kg ha,Water & Wetlands,> mean + 3STD = 26.558-89.281 degrees,346,11.451262,0.6,1.005,4.5805048,0.713032722,200,1,0,0.713032722,200
346,347,13,1,5,12.001-13 kg ha,NaturalTrees,> mean + 3STD = 26.558-89.281 degrees,347,12.46808338,0.63,0.64,4.613190851,0.899999976,200,0.793129444,0,0.899999976,200
347,348,13,2,5,12.001-13 kg ha,Non-wood Natural,> mean + 3STD = 26.558-89.281 degrees,348,12.40767479,0.28,0.32,8.933525849,0.015551344,200,0.944883227,0,0.015551344,200
348,349,13,4,5,12.001-13 kg ha,Built-up and artificial,> mean + 3STD = 26.558-89.281 degrees,349,12.48233318,0.61,0.74,4.86810994,0.899999976,200,0.878864944,0,0.899999976,200
349,350,13,3,4,12.001-13 kg ha,Cropland,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,350,12.46962547,0.65,0.98,4.364368915,0.899999976,200,0.025634037,0,0.899999976,200
350,351,13,5,5,12.001-13 kg ha,Water & Wetlands,> mean + 3STD = 26.558-89.281 degrees,351,12.4538765,0.62,0.8,4.73247307,0.899999976,200,1,0,0.899999976,200
351,352,14,1,4,13.001-14 kg ha,NaturalTrees,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,352,13.41470909,0.65,0.77,4.695148182,0.899999976,200,0.690201879,0,0.899999976,200
352,353,14,2,4,13.001-14 kg ha,Non-wood Natural,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,353,13.45798206,0.53,0.62,6.325251568,0.899999976,200,0.955862045,0,0.899999976,200
353,354,14,5,4,13.001-14 kg ha,Water & Wetlands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,354,13.47884178,0.64,0.88,4.852383041,0.873523474,200,1,0,0.873523474,200
354,355,14,3,2,13.001-14 kg ha,Cropland,<= mean = 2.531- 5.06 degrees,355,13.43257809,0.67,1.12,4.43275077,0.63096267,200,0.01144524,0,0.63096267,200
355,356,14,3,3,13.001-14 kg ha,Cropland,<= mean + 1 STD = 5.061-12.225 degrees,356,13.43132019,0.67,1.1,4.432335663,0.825233102,200,0.004736075,0,0.825233102,200
356,357,15,4,1,14.001-15 kg ha,Built-up and artificial,<= 1/2 STD = < 2.53 degrees,357,14.47136116,0.63,1,5.354403629,0.252141565,200,0.960286885,0,0.252141565,200
357,358,15,1,1,14.001-15 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,358,14.43365002,0.64,0.95,5.196114007,0.899999976,200,0.903160632,0,0.899999976,200
358,359,15,2,1,14.001-15 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,359,14.44685936,0.65,1.01,5.056400776,0.899999976,200,0.968368292,0,0.899999976,200
359,360,15,2,2,14.001-15 kg ha,Non-wood Natural,<= mean = 2.531- 5.06 degrees,360,14.41315174,0.66,0.89,4.900471592,0.899999976,200,0.95994556,0,0.899999976,200
